Month,USA,Canada,CAN_exchangerate
Apr-00,2.51,1.94,1.47
Apr-01,2.54,2.13,1.56
Apr-02,2.49,2.12,1.57
Apr-03,2.71,2.21,1.45
May-04,2.9,2.33,1.37
Jun-05,3.06,2.63,1.25
Jan-06,3.15,3.01,1.17
May-06,3.1,3.14,1.12
Jan-07,3.22 ,3.09,1.17
Jun-07,3.41,3.68,1.05
Jun-08,3.57,4.08,1
Jan-09,3.54,3.35,1.16
Jan-10,3.58,3.97,1.04
Jul-10,3.73,4,1.04
Jul-11,4.07,5,0.95
Jan-12,4.20,4.63,1.02
Jul-12,4.33,5.02,1.02
Jan-13,4.37,5.39,1
Jul-13,4.56,5.26,1.05
Jan-14,4.62,5.01,1.11
Jul-14,4.8,5.25,1.07
Jan-15,4.79,4.64,1.23
Jul-15,4.79,4.54,1.29
Jan-16,4.93,4.14,1.41
Jul-16,5.04,4.6,1.3
Jan-17,5.06,4.51,1.18
